method,dataset_id,output_tree_present,parsed_ok,output_taxa_count,expected_taxa_count,all_expected_taxa_covered,exact_taxon_set_match,duplicate_leaf_labels_found,empty_leaf_labels_found,analysis_ready,success,error_message
Average NJ,13,True,True,55,55,True,True,False,False,True,True,
Average NJ,14,True,True,55,55,True,True,False,False,True,True,
Average NJ,15,True,True,55,55,True,True,False,False,True,True,
Average NJ,16,True,True,55,55,True,True,False,False,True,True,
Average NJ,17,True,True,55,55,True,True,False,False,True,True,
Average NJ,18,True,True,55,55,True,True,False,False,True,True,
Average NJ,19,True,True,55,55,True,True,False,False,True,True,
Average NJ,20,True,True,55,55,True,True,False,False,True,True,
Average NJ,21,True,True,55,55,True,True,False,False,True,True,
Average NJ,22,True,True,55,55,True,True,False,False,True,True,
Average NJ,23,True,True,55,55,True,True,False,False,True,True,
Average NJ,24,True,True,55,55,True,True,False,False,True,True,
Average NJ,25,True,True,55,55,True,True,False,False,True,True,
Average NJ,26,True,True,55,55,True,True,False,False,True,True,
Average NJ,27,True,True,55,55,True,True,False,False,True,True,
Average NJ,28,True,True,55,55,True,True,False,False,True,True,
Average NJ,29,True,True,55,55,True,True,False,False,True,True,
Average NJ,30,True,True,55,55,True,True,False,False,True,True,
Average NJ,31,True,True,55,55,True,True,False,False,True,True,
Average NJ,32,True,True,55,55,True,True,False,False,True,True,
Average NJ,33,True,True,55,55,True,True,False,False,True,True,
Average NJ,34,True,True,55,55,True,True,False,False,True,True,
Average NJ,35,True,True,55,55,True,True,False,False,True,True,
Average NJ,36,True,True,55,55,True,True,False,False,True,True,
Average NJ,37,True,True,55,55,True,True,False,False,True,True,
Average NJ,38,True,True,55,55,True,True,False,False,True,True,
Average NJ,39,True,True,55,55,True,True,False,False,True,True,
Average NJ,40,True,True,55,55,True,True,False,False,True,True,
Average NJ,41,True,True,55,55,True,True,False,False,True,True,
Average NJ,42,True,True,55,55,True,True,False,False,True,True,
Average NJ,43,True,True,55,55,True,True,False,False,True,True,
Average NJ,44,True,True,55,55,True,True,False,False,True,True,
Average NJ,45,True,True,55,55,True,True,False,False,True,True,
Average NJ,46,True,True,55,55,True,True,False,False,True,True,
Average NJ,47,True,True,55,55,True,True,False,False,True,True,
Average NJ,48,True,True,55,55,True,True,False,False,True,True,
Average NJ,49,True,True,55,55,True,True,False,False,True,True,
